Fuente/Origen,Titulo_URL,Precio,Latitud,Longitud,Dirección,Barrio/Zona,Provincia,Tipología/Producto,google_maps,Fecha de publicación,Vendedor,m2 totales,m2 cubiertos,Dormitorios,Baños
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-dorm.-en-centro-56973854.html,73000,-31.412803,-64.1945074,DEAN FUNES 772,Centro,Córdoba,Departamento,"https://maps.google.com/?q=-31.412803,-64.19450739999999",30-08-2025,CF SERVICIOS INMOBILIARIOS,83,59,2,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-depto-2-dorm-en-cofico-en-la-mejor-zona-venta-56970148.html,84000,-31.3985335,-64.1842051,Jujuy  al 1500,Cofico,Córdoba,Departamento,"https://maps.google.com/?q=-31.3985335,-64.1842051",20-08-2025,Inmobiliaria Terra,60,60,2,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-a-estrenar!-depto-de-2-dorm.-a-m-del-buen-pastor-56966914.html,159000,-31.4237589,-64.1848181,san lorenzo 177,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4237589,-64.1848181",21-08-2025,BURNI INVERSIONES INMOBILIARIAS,62,62,2,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-depto-1-dormi-en-barrio-alberdi-usd-44.000-56972675.html,44000,-31.4049405,-64.2081473,Santa Rosa 1934 Bº Alberdi,Alberdi,Córdoba,Departamento,"https://maps.google.com/?q=-31.4049405,-64.2081473",20-08-2025,VAN HOUSE SERVICIOS INMOBILIARIOS,52,52,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-2-dorm.-en-nueva-cordoba-venta-56970107.html,145000,-31.4219471,-64.1809494,Blvd. Pte. Arturo Umberto Illia al 300,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4219471,-64.1809494",20-08-2025,Inmobiliaria Terra,112,112,2,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-de-monoambiente-en-villa-carlos-paz-57011878.html,32000,-31.4205064,-64.5223611,Baudelaire 0,Villa Carlos Paz,Córdoba,Departamento,"https://maps.google.com/?q=-31.4205064,-64.5223611",26-08-2025,Remax Palace,30,30,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-un-dormitorio-nueva-cordoba-57012598.html,67000,-31.4304824,-64.1900529,Independencia 1255,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4304824,-64.1900529",27-08-2025,FERNANDO PARISIA Inmobiliaria,60,44,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-general-pueyrredon-57015267.html,55000,-31.4012842,-64.1618789,México al 1100,General Pueyrredón,Córdoba,Departamento,"https://maps.google.com/?q=-31.4012842,-64.1618789",26-08-2025,ENCUENTRO SERVICIO INMOBILIARIOS,45,45,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-av-colon-2-dorm-cochera-apto-credito-venta-57013507.html,60000,-31.408129,-64.2027767,Alberdi - Av. Colon al 1400,Alberdi,Córdoba,Departamento,"https://maps.google.com/?q=-31.408129,-64.2027767",28-08-2025,Sebastián Menéndez Negocios Inmobiliarios,70,70,2,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-apto-credito-vendo-dpto-c2-dorm-b-centro.-57015896.html,75000,-31.4176101,-64.1935658,Arturo m bas 329,Centro,Córdoba,Departamento,"https://maps.google.com/?q=-31.4176101,-64.1935658",26-08-2025,Melisa,75,75,2,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-en-venta-dpto-1-dor-con-escritorio-centro-57018515.html,47000,-31.4195698,-64.1796111,Obispo Salguero 100,Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4195698,-64.1796111",26-08-2025,REMAX JARDIN,500,46,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-de-categoria-en-nueva-cordoba-57014809.html,126000,-31.4252332,-64.1862228,Hipolito Yrigoyen al 400,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4252332,-64.1862228",26-08-2025,Inmobiliaria Moyano Bruno Roca,50,50,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-1-dormitorio-nueva-cordoba-57013452.html,70000,-31.4200833,-64.1887761,Parana 500,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4200833,-64.1887761",26-08-2025,RE/MAX Cumbre,37,37,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-un-dormitorio-a-m-de-nueva-cordoba!-57011981.html,60000,-31.4222912,-64.1777289,Balcarce al 300,Centro,Córdoba,Departamento,"https://maps.google.com/?q=-31.4222912,-64.1777289",26-08-2025,"Lugar- alquilá, vendé y viví en Córdoba",43,41,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-tipo-duplex-de-1-dormitorio-con-57014845.html,126000,-31.4242948,-64.1802912,Parana  al 500,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4242948,-64.1802912",26-08-2025,Inmobiliaria Moyano Bruno Roca,90,80,1,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-duplex-3-dorm-en-donato-alvarez-7342-9-57016387.html,75000,-31.3364973,-64.2601886,Teniente General Donato Alvarez 7300,Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.3364973,-64.2601886",26-08-2025,RE/MAX MEDITERRÁNEA II,80,60,3,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-deptos-en-venta-zona-sur-super-premium-inversion-57014571.html,212000,-31.4440737,-64.184191,Luis Roberto Altamira al 800,Jardín,Córdoba,Departamento,"https://maps.google.com/?q=-31.4440737,-64.184191",26-08-2025,Supra inmobiliaria & legal,118,118,2,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-vendo-monoambiente-en-edificio-london-57016921.html,37500,-31.4131869,-64.1856731,Av general paz 186,Centro,Córdoba,Departamento,"https://maps.google.com/?q=-31.4131869,-64.1856731",26-08-2025,Ruiz Eugenia Servicios Inmobiliarios,31,31,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-3-dorm.-chacabuco-esquina-illia-nueva-57017271.html,130000,-31.4216936,-64.1817478,Chacabuco  Esq. Illia,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4216936,-64.1817478",26-08-2025,Territorio Bienes Raíces,112,81,3,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-2-dorm.-en-general-paz.-edificio-venezia-57012303.html,125000,-31.4130457,-64.1608191,General Martin DE Guemes  al 100,General Paz,Córdoba,Departamento,"https://maps.google.com/?q=-31.4130457,-64.1608191",26-08-2025,MARTIN & CÍA Consultores inmobiliarios,63,63,2,1
